date,price
1953-01-01,220209.41
1953-02-01,221040.39
1953-03-01,220209.41
1953-04-01,220720.83
1953-05-01,220148.97
1953-06-01,219327.52
1953-07-01,219835.24
1953-08-01,219270.93
1953-09-01,219523.85
1953-10-01,218710.8
1953-11-01,219270.93
1953-12-01,219270.93
1954-01-01,219270.93
1954-02-01,219523.85
1954-03-01,219523.85
1954-04-01,220089.11
1954-05-01,219270.93
1954-06-01,219523.85
1954-07-01,220282.6
1954-08-01,220788.32
1954-09-01,222119.88
1954-10-01,221866.02
1954-11-01,221866.02
1954-12-01,222951.79
1955-01-01,223206.6
1955-02-01,222442.16
1955-03-01,221932.66
1955-04-01,220658.6
1955-05-01,220658.6
1955-06-01,221677.85
1955-07-01,221612.16
1955-08-01,222881.47
1955-09-01,222558.75
1955-10-01,222305.83
1955-11-01,221799.99
1955-12-01,222119.88
1956-01-01,221612.16
1956-02-01,220850.69
1956-03-01,220089.11
1956-04-01,218259.26
1956-05-01,217702.87
1956-06-01,218353.15
1956-07-01,218497.45
1956-08-01,220792.97
1956-09-01,219738.85
1956-10-01,218692.52
1956-11-01,218197.72
1956-12-01,217653.65
1957-01-01,218393.04
1957-02-01,219569.53
1957-03-01,218779.71
1957-04-01,219458.56
1957-05-01,219403.72
1957-06-01,217896.57
1957-07-01,216356.67
1957-08-01,216356.67
1957-09-01,217077.89
1957-10-01,218279.8
1957-11-01,217511.21
1957-12-01,217271.77
1958-01-01,215990.15
1958-02-01,215990.15
1958-03-01,216380.08
1958-04-01,216102.19
1958-05-01,216572.91
1958-06-01,215395.95
1958-07-01,214653.2
1958-08-01,215160.53
1958-09-01,214454.29
1958-10-01,214218.87
1958-11-01,213949.39
1958-12-01,214925.12
1959-01-01,213714.79
1959-02-01,214218.87
1959-03-01,214218.87
1959-04-01,213480.19
1959-05-01,214418.6
1959-06-01,213681.77
1959-07-01,212250.99
1959-08-01,212017.99
1959-09-01,211758.79
1959-10-01,212195.57
1959-11-01,212426.99
1959-12-01,211501.34
1960-01-01,212919.79
1960-02-01,212195.57
1960-03-01,212195.57
1960-04-01,211476.27
1960-05-01,211015.01
1960-06-01,209842.43
1960-07-01,209842.43
1960-08-01,210761.82
1960-09-01,211681.1
1960-10-01,210945.34
1960-11-01,210260.42
1960-12-01,210260.42
1961-01-01,210260.42
1961-02-01,209803.81
1961-03-01,210260.42
1961-04-01,209347.31
1961-05-01,210032.12
1961-06-01,209803.81
1961-07-01,209085.47
1961-08-01,210012.3
1961-09-01,209312.25
1961-10-01,209312.25
1961-11-01,210446.17
1961-12-01,210899.74
1962-01-01,211126.41
1962-02-01,209973.04
1962-03-01,209973.04
1962-04-01,209277.77
1962-05-01,210404.07
1962-06-01,210629.35
1962-07-01,209934.2
1962-08-01,209934.2
1962-09-01,209019.83
1962-10-01,208572.23
1962-11-01,208796.03
1962-12-01,208796.03
1963-01-01,209019.83
1963-02-01,209019.83
1963-03-01,209449.85
1963-04-01,210342.0
1963-05-01,209895.98
1963-06-01,209210.04
1963-07-01,208971.7
1963-08-01,208971.7
1963-09-01,208971.7
1963-10-01,208293.22
1963-11-01,209618.57
1963-12-01,209820.91
1964-01-01,209820.91
1964-02-01,210481.34
1964-03-01,210481.34
1964-04-01,209820.91
1964-05-01,208940.2
1964-06-01,208924.6
1964-07-01,208690.23
1964-08-01,210021.83
1964-09-01,210002.81
1964-10-01,210440.33
1964-11-01,210420.02
1964-12-01,210420.02
1965-01-01,211728.28
1965-02-01,211728.28
1965-03-01,210399.74
1965-04-01,209296.34
1965-05-01,209079.77
1965-06-01,207756.48
1965-07-01,208186.98
1965-08-01,208186.98
1965-09-01,208186.98
1965-10-01,208817.96
1965-11-01,209890.97
1965-12-01,209872.77
1966-01-01,210514.61
1966-02-01,208773.68
1966-03-01,208123.29
1966-04-01,207045.24
1966-05-01,207466.51
1966-06-01,207246.15
1966-07-01,206817.81
1966-08-01,204928.69
1966-09-01,204928.69
1966-10-01,204510.0
1966-11-01,204510.0
1966-12-01,205337.17
1967-01-01,205337.17
1967-02-01,205337.17
1967-03-01,203271.87
1967-04-01,203479.83
1967-05-01,204096.49
1967-06-01,203892.2
1967-07-01,203281.75
1967-08-01,203893.38
1967-09-01,203286.55
1967-10-01,203490.86
1967-11-01,203492.68
1967-12-01,203895.78
1968-01-01,202500.39
1968-02-01,202902.95
1968-03-01,201914.69
1968-04-01,201327.73
1968-05-01,200152.56
1968-06-01,200567.38
1968-07-01,200197.77
1968-08-01,200208.93
1968-09-01,199638.53
1968-10-01,199856.48
1968-11-01,201598.09
1968-12-01,202754.95
1969-01-01,203140.96
1969-02-01,202956.3
1969-03-01,202965.76
1969-04-01,202034.91
1969-05-01,202414.33
1969-06-01,201865.9
1969-07-01,202617.5
1969-08-01,202809.41
1969-09-01,203729.73
1969-10-01,204278.85
1969-11-01,204096.5
1969-12-01,204276.92
1970-01-01,205716.27
1970-02-01,206065.79
1970-03-01,206055.52
1970-04-01,205333.38
1970-05-01,206387.74
1970-06-01,206726.58
1970-07-01,206189.79
1970-08-01,208108.64
1970-09-01,209129.48
1970-10-01,209103.9
1970-11-01,209250.45
1970-12-01,209395.46
1971-01-01,209908.28
1971-02-01,208870.66
1971-03-01,208348.48
1971-04-01,208507.56
1971-05-01,208992.09
1971-06-01,209626.2
1971-07-01,209445.47
1971-08-01,209599.05
1971-09-01,210099.31
1971-10-01,210251.0
1971-11-01,211914.37
1971-12-01,211379.76
1972-01-01,212041.82
1972-02-01,211509.18
1972-03-01,210833.96
1972-04-01,210653.8
1972-05-01,210801.53
1972-06-01,211601.23
1972-07-01,212702.0
1972-08-01,213005.43
1972-09-01,212337.87
1972-10-01,211173.07
1972-11-01,210835.48
1972-12-01,210499.48
1973-01-01,209526.23
1973-02-01,208061.01
1973-03-01,206296.1
1973-04-01,204876.63
1973-05-01,203941.49
1973-06-01,203019.05
1973-07-01,202407.19
1973-08-01,200626.99
1973-09-01,200935.65
1973-10-01,200665.05
1973-11-01,200242.79
1973-12-01,200267.8
1974-01-01,200154.67
1974-02-01,199195.82
1974-03-01,198830.37
1974-04-01,198710.61
1974-05-01,197237.26
1974-06-01,196737.86
1974-07-01,196108.9
1974-08-01,195524.44
1974-09-01,195088.23
1974-10-01,194776.97
1974-11-01,194717.25
1974-12-01,196231.45
1975-01-01,199195.49
1975-02-01,198006.42
1975-03-01,197761.59
1975-04-01,197340.03
1975-05-01,196814.02
1975-06-01,195222.68
1975-07-01,194099.76
1975-08-01,194892.09
1975-09-01,195777.27
1975-10-01,196151.42
1975-11-01,196114.16
1975-12-01,195962.52
1976-01-01,196326.66
1976-02-01,195998.4
1976-03-01,197367.22
1976-04-01,198633.15
1976-05-01,199553.28
1976-06-01,199114.0
1976-07-01,199700.79
1976-08-01,199952.29
1976-09-01,200691.38
1976-10-01,200304.18
1976-11-01,201120.28
1976-12-01,202094.73
1977-01-01,202729.45
1977-02-01,203027.37
1977-03-01,204548.1
1977-04-01,206451.33
1977-05-01,207965.03
1977-06-01,208157.73
1977-07-01,209268.58
1977-08-01,210698.85
1977-09-01,212762.06
1977-10-01,214738.5
1977-11-01,215907.45
1977-12-01,217156.73
1978-01-01,217942.28
1978-02-01,218985.58
1978-03-01,220284.16
1978-04-01,221427.41
1978-05-01,222379.79
1978-06-01,223306.02
1978-07-01,224726.32
1978-08-01,226654.79
1978-09-01,227310.14
1978-10-01,227462.92
1978-11-01,228827.23
1978-12-01,230513.18
1979-01-01,231543.23
1979-02-01,231739.61
1979-03-01,232457.98
1979-04-01,232808.56
1979-05-01,232859.63
1979-06-01,233197.52
1979-07-01,233230.19
1979-08-01,233344.46
1979-09-01,232796.78
1979-10-01,232987.64
1979-11-01,232494.91
1979-12-01,231456.94
1980-01-01,229340.65
1980-02-01,227449.96
1980-03-01,225955.22
1980-04-01,225538.93
1980-05-01,224914.91
1980-06-01,223818.21
1980-07-01,225372.79
1980-08-01,225056.17
1980-09-01,224266.29
1980-10-01,223066.03
1980-11-01,222128.52
1980-12-01,220940.41
1981-01-01,219837.86
1981-02-01,218460.81
1981-03-01,218274.64
1981-04-01,218736.38
1981-05-01,218540.75
1981-06-01,218011.96
1981-07-01,216739.48
1981-08-01,216199.4
1981-09-01,214517.09
1981-10-01,214348.0
1981-11-01,213674.9
1981-12-01,213163.35
1982-01-01,212628.95
1982-02-01,212297.67
1982-03-01,212404.97
1982-04-01,211786.7
1982-05-01,210071.45
1982-06-01,207455.69
1982-07-01,206337.06
1982-08-01,205822.18
1982-09-01,205473.03
1982-10-01,204849.5
1982-11-01,205280.12
1982-12-01,206470.73
1983-01-01,206737.3
1983-02-01,207600.21
1983-03-01,208460.32
1983-04-01,208046.84
1983-05-01,207827.8
1983-06-01,208216.71
1983-07-01,208567.15
1983-08-01,208865.06
1983-09-01,208382.75
1983-10-01,208154.2
1983-11-01,208026.94
1983-12-01,208364.92
1984-01-01,207742.69
1984-02-01,207394.19
1984-03-01,207934.74
1984-04-01,208085.67
1984-05-01,208788.87
1984-06-01,209385.03
1984-07-01,209732.63
1984-08-01,209932.14
1984-09-01,209550.58
1984-10-01,209339.72
1984-11-01,209370.95
1984-12-01,209823.44
1985-01-01,210145.94
1985-02-01,210104.06
