datetime,open,high,low,close,volume
2025-12-29,63.25,64.20000,61.57000,62.029999,5981700
2025-12-22,61.19000,63.14000,60.89000,63.090000,7385400
2025-12-15,61.15000,62.64000,60.47000,61.37000,15472600
2025-12-08,61.21000,61.44000,60.0099983,60.95000,11306700
2025-12-01,61.28000,62.42000,60.98000,61.060001,11141700
2025-11-24,60.26000,62.040001,59.96000,61.75,8326900
2025-11-17,59.66000,60.86000,58.66000,60.55000,10462200
2025-11-10,59.63000,60.57000,58.79000,59.42000,10176200
2025-11-03,58.76000,60.060001,58.38000,59.71000,15130700
2025-10-27,63.35000,63.53000,58.51000,59.44000,19019200
2025-10-20,62.62000,63.94000,62.21000,63.42000,11857600
2025-10-13,61.59000,62.86000,61.16000,62.21000,14870100
2025-10-06,63.35000,63.43000,61.090000,61.67000,8007900
2025-09-29,64.18000,64.86000,63.11000,63.30000,10547100
2025-09-22,64.92000,65.76000,63.62000,64.53000,10952400
2025-09-15,66.72000,66.84000,64.29000,65.050003,13763600
2025-09-08,66.22000,67.12000,65.56000,66.44000,7835300
2025-09-01,65.66000,67.070000,63.61000,66.81000,6734400
2025-08-25,65.24000,66.20000,64.33000,66.12000,11073300
2025-08-18,64.27000,65.70000,63.19000,65.26000,9056400
2025-08-11,62.87000,64.38000,62.090000,64.12000,10753600
2025-08-04,62.72000,64.47000,62.53000,63.20000,11883500
2025-07-28,67.45000,67.83000,61.71000,62.75,16213100
2025-07-21,67.23000,68.51000,66.61000,67.37000,8764400
2025-07-14,66.89000,67.54000,65.71000,67.17000,7058800
2025-07-07,67.24000,67.99000,66.040001,66.79000,9480700
2025-06-30,67.19000,68.089996,65.87000,66.88000,8677900
2025-06-23,69.17000,69.87000,65.19000,67.35000,13790200
2025-06-16,69.40000,69.84000,68.36000,68.99000,7470300
2025-06-09,68.25,70.21000,68.21000,68.88000,7316200
2025-06-02,69.48000,70.050003,67.99000,68.5,8301700
2025-05-26,68.56000,70.31000,67.37000,70.14000,9197400
2025-05-19,70.83000,71.52000,66.95000,67.61000,7443500
2025-05-12,70.70000,71.80000,68.35000,71.56000,12917000
2025-05-05,71.15000,71.44000,69.48000,69.94000,9346000
2025-04-28,68.57000,72.40000,68.31000,71.72000,12424600
2025-04-21,67.64000,70.64000,66.52000,68.53000,7371900
2025-04-14,65.32000,69.24000,65.14000,68.24000,8506900
2025-04-07,62.73000,67.47000,59.41000,64.64000,16537700
2025-03-31,71.16000,72.099998,63.63000,63.79000,9279500
2025-03-24,70.12000,72.65000,69.90000,71.38000,6670200
2025-03-17,68.71000,70.61000,68.71000,69.81000,8957400
2025-03-10,72.11000,73.14000,67.76000,68.94000,9991900
2025-03-03,74.17000,75.86000,71.37000,71.97000,8835400
2025-02-24,71.67000,74.92000,71.30000,74.17000,8358200
2025-02-17,71.040001,71.93000,70.53000,71.56000,5064600
2025-02-10,71.19000,72.52000,69.97000,71.23000,5879200
